2017-06-19 01:22:08.978000 {"type":"join","timestamp":"1497835328.978000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"mblaney","nickname":"mblaney","name":"mblaney","username":null},"content":""}
2017-06-19 03:26:21.918000 {"type":"join","timestamp":"1497842781.918000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 03:43:39.166000 {"type":"join","timestamp":"1497843819.166000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":""}
2017-06-19 04:34:23.586000 {"type":"join","timestamp":"1497846863.586000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 04:42:02.686000 {"type":"join","timestamp":"1497847322.686000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 04:53:29.688000 {"type":"join","timestamp":"1497848009.688000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 05:11:57.915000 {"type":"join","timestamp":"1497849117.915000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"snarfed","nickname":"snarfed","name":"snarfed","username":null},"content":""}
2017-06-19 06:05:45.846000 {"type":"join","timestamp":"1497852345.846000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 06:25:49.611000 {"type":"join","timestamp":"1497853549.611000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-06-19 06:36:01.819000 {"type":"join","timestamp":"1497854161.819000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-06-19 06:43:22.867000 {"type":"join","timestamp":"1497854602.867000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[sebsel]","nickname":"[sebsel]","name":"[sebsel]","username":null},"content":""}
2017-06-19 11:55:47.946000 {"type":"join","timestamp":"1497873347.946000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[markmhendrickso","nickname":"[markmhendrickso","name":"[markmhendrickso","username":null},"content":""}
2017-06-19 13:02:17.896000 {"type":"join","timestamp":"1497877337.896000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[sebsel]","nickname":"[sebsel]","name":"[sebsel]","username":null},"content":""}
2017-06-19 13:36:08.222000 {"type":"join","timestamp":"1497879368.222000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"jonnybarnes","nickname":"jonnybarnes","name":"jonnybarnes","username":null},"content":""}
2017-06-19 13:36:37.886000 {"type":"join","timestamp":"1497879397.886000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"jonnybarnes_tmp","nickname":"jonnybarnes_tmp","name":"jonnybarnes_tmp","username":null},"content":""}
2017-06-19 14:16:33.307000 {"type":"join","timestamp":"1497881793.307000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[eddie]","nickname":"[eddie]","name":"[eddie]","username":null},"content":""}
