2017-07-30 02:38:00.375000 {"type":"join","timestamp":"1501382280.375000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"deep-book-gk_","nickname":"deep-book-gk_","name":"deep-book-gk_","username":null},"content":""}
2017-07-30 04:03:17.738000 {"type":"join","timestamp":"1501387397.738000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-07-30 05:44:31.160000 {"type":"join","timestamp":"1501393471.160000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-07-30 08:55:06.971000 {"type":"join","timestamp":"1501404906.971000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","name":"[kevinmarks]","username":null},"content":""}
2017-07-30 09:37:42.732000 {"type":"join","timestamp":"1501407462.732000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[acegiak_net]","nickname":"[acegiak_net]","name":"[acegiak_net]","username":null},"content":""}
2017-07-30 10:38:33.522000 {"type":"join","timestamp":"1501411113.522000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-07-30 12:04:12.051000 {"type":"join","timestamp":"1501416252.051000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[jemostrom]","nickname":"[jemostrom]","name":"[jemostrom]","username":null},"content":""}
2017-07-30 13:40:12.470000 {"type":"join","timestamp":"1501422012.470000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[jemostrom]","nickname":"[jemostrom]","name":"[jemostrom]","username":null},"content":""}
2017-07-30 15:52:03.194000 {"type":"join","timestamp":"1501429923.194000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-07-30 16:59:52.422000 {"type":"join","timestamp":"1501433992.422000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[jemostrom]","nickname":"[jemostrom]","name":"[jemostrom]","username":null},"content":""}
2017-07-30 17:57:17.393000 {"type":"join","timestamp":"1501437437.393000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-07-30 22:01:01.995000 {"type":"join","timestamp":"1501452061.995000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[miklb]","nickname":"[miklb]","name":"[miklb]","username":null},"content":""}
2017-07-30 22:35:25.487000 {"type":"join","timestamp":"1501454125.487000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"arush","nickname":"arush","name":"arush","username":null},"content":""}
2017-07-30 23:08:21.964000 {"type":"join","timestamp":"1501456101.964000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","name":"[kevinmarks]","username":null},"content":""}
2017-07-30 23:38:31.097000 {"type":"join","timestamp":"1501457911.097000","network":"irc","server":"freenode","channel":{"id":"#bridgy","name":"#bridgy"},"author":{"uid":"schmarty","nickname":"schmarty","name":"schmarty","username":null},"content":""}
