2015-09-20 00:46:19.471000 {"type":"join","timestamp":"1442709979.471000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"endi_","nickname":"endi_","name":"endi_","username":null},"content":"endi_ joined #knownchat"}
2015-09-20 00:59:37.395000 {"type":"join","timestamp":"1442710777.395000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"endi","nickname":"endi","name":"endi","username":null},"content":"endi joined #knownchat"}
2015-09-20 04:06:15.318000 {"type":"join","timestamp":"1442721975.318000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #knownchat"}
2015-09-20 04:36:55.020000 {"type":"join","timestamp":"1442723815.020000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #knownchat"}
2015-09-20 08:58:01.101000 {"type":"join","timestamp":"1442739481.101000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir","nickname":"norguir","name":"norguir","username":null},"content":"norguir joined #knownchat"}
2015-09-20 09:04:49.930000 {"type":"join","timestamp":"1442739889.930000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir1","nickname":"norguir1","name":"norguir1","username":null},"content":"norguir1 joined #knownchat"}
2015-09-20 09:29:25.965000 {"type":"join","timestamp":"1442741365.965000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loic_m","nickname":"loic_m","name":"loic_m","username":null},"content":"loic_m joined #knownchat"}
2015-09-20 11:52:47.552000 {"type":"join","timestamp":"1442749967.552000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loic_m","nickname":"loic_m","name":"loic_m","username":null},"content":"loic_m joined #knownchat"}
2015-09-20 12:20:57.880000 {"type":"join","timestamp":"1442751657.880000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","name":"mapkyca","username":null},"content":"mapkyca joined #knownchat"}
2015-09-20 13:51:19.958000 {"type":"join","timestamp":"1442757079.958000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir","nickname":"norguir","name":"norguir","username":null},"content":"norguir joined #knownchat"}
2015-09-20 15:14:59.560000 {"type":"join","timestamp":"1442762099.560000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"jmonroe","nickname":"jmonroe","name":"jmonroe","username":null},"content":"jmonroe joined #knownchat"}
2015-09-20 16:55:31.554000 {"type":"join","timestamp":"1442768131.554000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir","nickname":"norguir","name":"norguir","username":null},"content":"norguir joined #knownchat"}
2015-09-20 17:06:20.493000 {"type":"join","timestamp":"1442768780.493000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir","nickname":"norguir","name":"norguir","username":null},"content":"norguir joined #knownchat"}
2015-09-20 17:18:59.244000 {"type":"join","timestamp":"1442769539.244000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir1","nickname":"norguir1","name":"norguir1","username":null},"content":"norguir1 joined #knownchat"}
2015-09-20 19:24:47.953000 {"type":"join","timestamp":"1442777087.953000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"norguir","nickname":"norguir","name":"norguir","username":null},"content":"norguir joined #knownchat"}
2015-09-20 20:54:37.706000 {"type":"join","timestamp":"1442782477.706000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-09-20 21:43:52.771000 {"type":"join","timestamp":"1442785432.771000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #knownchat"}
