2015-12-06 00:01:23.192000 {"type":"join","timestamp":"1449360083.192000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"jmonroe","nickname":"jmonroe","name":"jmonroe","username":null},"content":"jmonroe joined #knownchat"}
2015-12-06 00:10:43.259000 {"type":"join","timestamp":"1449360643.259000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek_","nickname":"tantek_","name":"tantek_","username":null},"content":"tantek_ joined #knownchat"}
2015-12-06 08:19:04.073000 {"type":"join","timestamp":"1449389944.073000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 08:46:11.043000 {"type":"join","timestamp":"1449391571.043000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 09:40:29.201000 {"type":"join","timestamp":"1449394829.201000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 10:34:54.204000 {"type":"join","timestamp":"1449398094.204000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 11:25:34.846000 {"type":"join","timestamp":"1449401134.846000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 12:42:05.295000 {"type":"join","timestamp":"1449405725.295000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 13:42:56.995000 {"type":"join","timestamp":"1449409376.995000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"jfred__","nickname":"jfred__","name":"jfred__","username":null},"content":"jfred__ joined #knownchat"}
2015-12-06 13:49:57.687000 {"type":"join","timestamp":"1449409797.687000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Madgod","nickname":"Madgod","name":"Madgod","username":null},"content":"Madgod joined #knownchat"}
2015-12-06 14:06:40.220000 {"type":"join","timestamp":"1449410800.220000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 14:34:19.369000 {"type":"join","timestamp":"1449412459.369000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Tino","nickname":"Tino","name":"Tino","username":null},"content":"Tino joined #knownchat"}
2015-12-06 15:26:21.044000 {"type":"join","timestamp":"1449415581.044000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 15:37:40.186000 {"type":"join","timestamp":"1449416260.186000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loic_m","nickname":"loic_m","name":"loic_m","username":null},"content":"loic_m joined #knownchat"}
2015-12-06 17:16:59.135000 {"type":"join","timestamp":"1449422219.135000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 18:34:57.105000 {"type":"join","timestamp":"1449426897.105000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 19:46:39.210000 {"type":"join","timestamp":"1449431199.210000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 20:49:16.059000 {"type":"join","timestamp":"1449434956.059000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 21:44:59.164000 {"type":"join","timestamp":"1449438299.164000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 22:17:00.073000 {"type":"join","timestamp":"1449440220.073000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","name":"j12t","username":null},"content":"j12t joined #knownchat"}
2015-12-06 22:21:22.147000 {"type":"join","timestamp":"1449440482.147000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":"benwerd joined #knownchat"}
2015-12-06 23:07:56.952000 {"type":"join","timestamp":"1449443276.952000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #knownchat"}
2015-12-06 23:48:57.351000 {"type":"join","timestamp":"1449445737.351000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"benwerd","nickname":"benwerd","name":"benwerd","username":null},"content":"benwerd joined #knownchat"}
