2016-09-14 00:12:30.964000 {"type":"join","timestamp":"1473811950.964000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"davidmead","nickname":"davidmead","name":"davidmead","username":null},"content":""}
2016-09-14 05:14:17.074000 {"type":"join","timestamp":"1473830057.074000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-14 06:44:24.756000 {"type":"join","timestamp":"1473835464.756000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-14 07:05:49.063000 {"type":"join","timestamp":"1473836749.063000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm_","nickname":"loicm_","name":"loicm_","username":null},"content":""}
2016-09-14 10:41:27.386000 {"type":"message","timestamp":"1473849687.386000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@linux_everyday] https:\/\/withknown.com - A single website for all your content.  #linux_everyday (http:\/\/twtr.io\/1H093SVnAS8)"}
2016-09-14 12:07:16.188000 {"type":"message","timestamp":"1473854836.188000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ncollig_net] Check out my new @withknown site! https:\/\/ncollig.net\/ (http:\/\/twtr.io\/1H0GmEaRwq8)"}
2016-09-14 12:33:50.384000 {"type":"join","timestamp":"1473856430.384000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-14 15:45:31.264000 {"type":"message","timestamp":"1473867931.264000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@finalcut] @withknown what does the red number by my username mean on my known site? https:\/\/twitter.com\/finalcut\/status\/776084466930290688\/photo\/1 (http:\/\/twtr.io\/1H0bPXzvnQo)"}
2016-09-14 15:47:45.770000 {"type":"join","timestamp":"1473868065.770000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-14 16:52:52.282000 {"type":"join","timestamp":"1473871972.282000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm_","nickname":"loicm_","name":"loicm_","username":null},"content":""}
2016-09-14 17:35:01.061000 {"type":"message","timestamp":"1473874501.061000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@finalcut] @withknown I figured it out; means unread notifications.  So how do I see the notifications within the site? (http:\/\/twtr.io\/1H0mEA6VFj0)"}
2016-09-14 18:37:48.120000 {"type":"join","timestamp":"1473878268.120000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-14 18:45:26.175000 {"type":"join","timestamp":"1473878726.175000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"ncollig","nickname":"ncollig","name":"ncollig","username":null},"content":""}
2016-09-14 18:46:28.573000 {"type":"message","timestamp":"1473878788.573000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"ncollig","nickname":"ncollig","name":"ncollig","username":null},"content":"Hey, I can't get status or post published to twitter, despite that the twitter setting in known tells me that twitter is connected, and the twitter app page says so as well. Any idea how to troubleshoot or what I can do?"}
