2021-10-25 01:15:17.739500 {"type":"join","timestamp":1635124517.7395294,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"hans1963[d]","nickname":"hans1963[d]","username":"hans1963","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-10-25 02:35:31.579000 {"type":"join","timestamp":1635129331.5790195,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"alex11","nickname":"alex11","username":"~alex11","name":"your worst nightmare","photo":null,"url":null,"tz":null,"host":"user\/alex11"},"content":null,"modes":[]}
2021-10-25 03:11:11.562000 {"type":"join","timestamp":1635131471.5620372,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2021-10-25 05:04:29.137100 {"type":"join","timestamp":1635138269.1370914,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"diegov","nickname":"diegov","username":"~diegov","name":"@diegov:matrix.org","photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::103f"},"content":null,"modes":[]}
2021-10-25 06:25:02.733200 {"type":"message","timestamp":1635143102.7331994,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@fluffy] New post: fluffy rambles: Some thoughts on comments and interaction https:\/\/beesbuzz.biz\/blog\/1327-Some-thoughts-on-comments-and-interaction\n\n#IndieWeb #Blogging #Internet #Commentary #Webmention (https:\/\/twitter.com\/_\/status\/1452520736946536455)","modes":[]}
2021-10-25 13:03:34.960800 {"type":"message","timestamp":1635167014.9608145,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307blogroll\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77587&oldid=76314&rcid=77479\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-223) \u000310\/* James Gallagher *\/\u0003\n","modes":[]}
2021-10-25 13:03:49.889300 {"type":"message","timestamp":1635167029.8893285,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307disclosure\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77588&oldid=72551&rcid=77480\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-247) \u000310\/* James Gallagher *\/\u0003\n","modes":[]}
2021-10-25 13:04:07.777400 {"type":"message","timestamp":1635167047.7773702,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307podcast\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77589&oldid=72606&rcid=77481\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-330) \u000310Remove inactive example\u0003\n","modes":[]}
2021-10-25 13:04:16.640600 {"type":"message","timestamp":1635167056.6405783,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307food\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77590&oldid=74117&rcid=77482\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-249) \u000310Remove inactive example\u0003\n","modes":[]}
2021-10-25 13:04:34.149900 {"type":"message","timestamp":1635167074.149926,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307file-storage\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77591&oldid=77387&rcid=77483\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-6) \u000310Update sparkline\u0003\n","modes":[]}
2021-10-25 13:05:17.270200 {"type":"message","timestamp":1635167117.270243,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Raspberry Pi\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=77593&oldid=76870&rcid=77485\u0003 \u00035*\u0003 \u000303Jamesg.blog\u0003 \u00035*\u0003 (-10) \u000310Change example to past tense\u0003\n","modes":[]}
