2021-12-29 00:01:45.841300 {"type":"message","timestamp":1640736105.8412528,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307personal library\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78761&oldid=78760&rcid=78654\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+392) \u0003103dbook to tools section; Gordon Brander, Josh Branshaud, Boris Anthony to examples; fix literal.club link; planned upcoming session\u0003\n","modes":[]}
2021-12-29 00:32:14.734900 {"type":"join","timestamp":1640737934.734943,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegor","nickname":"gRegor","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"184-167-191-024.res.spectrum.com"},"content":null,"modes":[]}
2021-12-29 00:33:31.304700 {"type":"message","timestamp":1640738011.3047137,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u0003072022\/Pop-ups\/Sessions\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78762&oldid=78754&rcid=78655\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+20) \u000310\u0003\n","modes":[]}
2021-12-29 00:34:42.260000 {"type":"message","timestamp":1640738082.2599595,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u0003072022\/Pop-ups\/Sessions\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78763&oldid=78762&rcid=78656\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+30) \u000310\u0003\n","modes":[]}
2021-12-29 00:36:10.605200 {"type":"message","timestamp":1640738170.6052315,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307User:Andysylvester.com\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78764&oldid=60708&rcid=78657\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+917) \u000310\u0003\n","modes":[]}
2021-12-29 00:38:16.075500 {"type":"message","timestamp":1640738296.0755334,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Template:Infobox person\/doc\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78765&oldid=67795&rcid=78658\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+61) \u000310\/* Blank Template *\/\u0003\n","modes":[]}
2021-12-29 00:39:17.595400 {"type":"message","timestamp":1640738357.5953946,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Template:Infobox person\/doc\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78766&oldid=78765&rcid=78659\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+19) \u000310\/* Parameters *\/\u0003\n","modes":[]}
2021-12-29 00:40:32.517300 {"type":"message","timestamp":1640738432.517292,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307User:Andysylvester.com\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78767&oldid=78764&rcid=78660\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+31) \u000310\u0003\n","modes":[]}
2021-12-29 00:44:35.551700 {"type":"message","timestamp":1640738675.551722,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u0003072022\/Pop-ups\/Sessions\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78768&oldid=78763&rcid=78661\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (-5) \u000310\u0003\n","modes":[]}
2021-12-29 00:45:54.597000 {"type":"join","timestamp":1640738754.596963,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"wackycity[d]","nickname":"wackycity[d]","username":"wackycity","name":"wackycity","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-12-29 00:46:04.650900 {"type":"message","timestamp":1640738764.6509056,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u0003072022\/Pop-ups\/Sessions\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78769&oldid=78768&rcid=78662\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (+147) \u000310\u0003\n","modes":[]}
2021-12-29 00:47:16.070200 {"type":"message","timestamp":1640738836.0702443,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307User:Andysylvester.com\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=78770&oldid=78767&rcid=78663\u0003 \u00035*\u0003 \u000303Andysylvester.com\u0003 \u00035*\u0003 (\u0002-946\u0002) \u000310\u0003\n","modes":[]}
