2026-07-20 00:24:40.299900 {"type":"join","timestamp":1784507080.299912,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jack","nickname":"jack","username":"JackU9_8cs","name":null,"photo":null,"url":null,"tz":null,"host":"2600:3c01::f03c:93ff:fea4:1848"},"content":null,"modes":[]}
2026-07-20 00:29:03.796200 {"type":"join","timestamp":1784507343.7962499,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jack","nickname":"jack","username":"JackU9_8cs","name":null,"photo":null,"url":null,"tz":null,"host":"2600:3c01::f03c:93ff:fea4:1848"},"content":null,"modes":[]}
2026-07-20 01:20:43.485100 {"type":"join","timestamp":1784510443.4851096,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"visitor","nickname":"visitor","username":"~visitogs_","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":null,"modes":[]}
2026-07-20 01:51:47.072600 {"type":"join","timestamp":1784512307.072649,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Cucklefuck","nickname":"Cucklefuck","username":"~Cuckle384","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":null,"modes":[]}
2026-07-20 02:19:22.258200 {"type":"message","timestamp":1784513962.2581851,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u0003072026\/D\u00fcsseldorf\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112332&oldid=111377&rcid=112259\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+12) \u000310move tilman's post to Posts section\u0003\n","modes":[]}
2026-07-20 02:34:09.011400 {"type":"message","timestamp":1784514849.0113688,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Mastodon\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112333&oldid=111923&rcid=112260\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+373) \u000310\/* Requests *\/ note IndieAuth authentication issue and need to split into two different issues for each side of support\u0003\n","modes":[]}
2026-07-20 03:58:59.009000 {"type":"message","timestamp":1784519939.009024,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307sneakernet\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112334&oldid=55121&rcid=112261\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+157) \u000310sneakerweb - websites shared via physical media\u0003\n","modes":[]}
2026-07-20 04:01:11.036900 {"type":"message","timestamp":1784520071.0369341,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307local development\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112335&oldid=100635&rcid=112262\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+25) \u000310adding some wiki links\u0003\n","modes":[]}
2026-07-20 04:03:08.319300 {"type":"message","timestamp":1784520188.319281,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Small Computers\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112336&oldid=81045&rcid=112263\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:03:19.653400 {"type":"message","timestamp":1784520199.6533594,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307sneakernet\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112337&oldid=112334&rcid=112264\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:03:42.307500 {"type":"message","timestamp":1784520222.3075387,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307laptop\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112338&oldid=34134&rcid=112265\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:04:10.199800 {"type":"message","timestamp":1784520250.1997566,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307typewriter\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112339&oldid=111705&rcid=112266\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:04:50.768200 {"type":"message","timestamp":1784520290.7681985,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Chromebook\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112340&oldid=62161&rcid=112267\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:05:04.929400 {"type":"message","timestamp":1784520304.9293668,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307webcam\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112341&oldid=41233&rcid=112268\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:05:17.376200 {"type":"message","timestamp":1784520317.3762379,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307EyeFi\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112342&oldid=26405&rcid=112269\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:05:42.229000 {"type":"message","timestamp":1784520342.2290444,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307radio\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112343&oldid=105873&rcid=112270\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:05:57.832100 {"type":"message","timestamp":1784520357.8321135,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307printer\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112344&oldid=111709&rcid=112271\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+22) \u000310\u0003\n","modes":[]}
2026-07-20 04:09:07.511200 {"type":"message","timestamp":1784520547.5111578,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307sync\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=112345&oldid=23614&rcid=112272\u0003 \u00035*\u0003 \u000303Artlung.com\u0003 \u00035*\u0003 (+90) \u000310wikifying\u0003\n","modes":[]}
