2026-07-14 06:05:44.704500 {"type":"join","timestamp":1784009144.704539,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":null,"photo":{"value":"https:\/\/david.shanske.com\/avatar\/dshanske","alt":""},"url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"2001:19f0:1000:e361:5400:6ff:fe2e:f"},"content":null,"modes":[]}
2026-07-14 06:47:50.659800 {"type":"message","timestamp":1784011670.6598191,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"[capjamesg]","nickname":"[capjamesg]","username":"~capjamWjs","name":"capjamesg via slack-irc-gateway","photo":{"value":"https:\/\/jamesg.blog\/assets\/coffeeshop.jpg","alt":""},"url":"http:\/\/jamesg.blog","tz":"Europe\/London","host":"gateway.indieweb.org"},"content":"Good morning everyone!","modes":["voice"]}
2026-07-14 08:50:35.147700 {"type":"join","timestamp":1784019035.1476595,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"chr0m4_","nickname":"chr0m4_","username":"~chr0m4","name":null,"photo":{"value":"https:\/\/chroma.cafe\/assets\/images\/pfp.webp","alt":""},"url":"http:\/\/chroma.cafe","tz":"Asia\/Seoul","host":"user\/turalyon"},"content":null,"modes":[]}
2026-07-14 10:48:10.280500 {"type":"join","timestamp":1784026090.28045,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":null,"modes":[]}
2026-07-14 11:05:43.288100 {"type":"message","timestamp":1784027143.2880511,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":"[social]: is the joke \"There Be Dragons\"?","modes":["voice"]}
2026-07-14 11:05:47.045800 {"type":"message","timestamp":1784027147.0458407,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":"morning [capjamesg] ! how is it going?","modes":["voice"]}
2026-07-14 11:09:15.160800 {"type":"message","timestamp":1784027355.1608067,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"[capjamesg]","nickname":"[capjamesg]","username":"~capjamWjs","name":"capjamesg via slack-irc-gateway","photo":{"value":"https:\/\/jamesg.blog\/assets\/coffeeshop.jpg","alt":""},"url":"http:\/\/jamesg.blog","tz":"Europe\/London","host":"gateway.indieweb.org"},"content":"Things are going well. We have a lot of cloud here today so the environment is pleasantly cool.","modes":["voice"]}
2026-07-14 11:09:40.507300 {"type":"message","timestamp":1784027380.5073397,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"[capjamesg]","nickname":"[capjamesg]","username":"~capjamWjs","name":"capjamesg via slack-irc-gateway","photo":{"value":"https:\/\/jamesg.blog\/assets\/coffeeshop.jpg","alt":""},"url":"http:\/\/jamesg.blog","tz":"Europe\/London","host":"gateway.indieweb.org"},"content":"How are you doing?","modes":["voice"]}
2026-07-14 11:13:32.069000 {"type":"message","timestamp":1784027612.0689545,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":"been there, i guess. im slowly coming to terms with what happened, but i have been doing okay in life. Exams have started so that's taking up some time :)   ","modes":["voice"]}
2026-07-14 11:13:50.065900 {"type":"message","timestamp":1784027630.0659144,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":"weather here is hit or miss. its pretty cloudy right now but i want it to be a bit sunny","modes":["voice"]}
2026-07-14 11:14:37.050900 {"type":"message","timestamp":1784027677.0508728,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-random","name":"#indieweb-random"},"author":{"uid":"WinnerWind","nickname":"WinnerWind","username":"~wwind","name":null,"photo":{"value":"https:\/\/assets.winnerwind.in\/branding\/pfp.png","alt":""},"url":"http:\/\/winnerwind.in","tz":"Asia\/Calcutta","host":"user\/WinnerWind"},"content":"im glad the heat is easing up!","modes":["voice"]}
