2011-08-04 01:28:02.000000 {"type":"join","timestamp":"1312421282.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-04 01:50:40.000000 {"type":"join","timestamp":"1312422640.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiiil","nickname":"wajiiil","name":"wajiiil","username":null},"content":"wajiiil joined #indiewebcamp"}
2011-08-04 01:58:43.000000 {"type":"join","timestamp":"1312423123.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"MarkDilley","nickname":"MarkDilley","name":"MarkDilley","username":null},"content":"MarkDilley joined #indiewebcamp"}
2011-08-04 01:59:39.000000 {"type":"join","timestamp":"1312423179.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-04 01:59:54.000000 {"type":"join","timestamp":"1312423194.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 03:40:07.000000 {"type":"join","timestamp":"1312429207.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 05:01:26.000000 {"type":"join","timestamp":"1312434086.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 05:03:09.000000 {"type":"join","timestamp":"1312434189.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"MarkDilley","nickname":"MarkDilley","name":"MarkDilley","username":null},"content":"MarkDilley joined #indiewebcamp"}
2011-08-04 05:16:18.000000 {"type":"join","timestamp":"1312434978.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-04 05:26:09.000000 {"type":"join","timestamp":"1312435569.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-04 05:39:26.000000 {"type":"join","timestamp":"1312436366.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 05:39:37.000000 {"type":"join","timestamp":"1312436377.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 05:52:19.000000 {"type":"join","timestamp":"1312437139.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-04 06:00:24.000000 {"type":"join","timestamp":"1312437624.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-afk","nickname":"wajiii-afk","name":"wajiii-afk","username":null},"content":"wajiii-afk joined #indiewebcamp"}
2011-08-04 08:04:47.000000 {"type":"join","timestamp":"1312445087.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-04 08:13:14.000000 {"type":"join","timestamp":"1312445594.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"voxpelli","nickname":"voxpelli","name":"voxpelli","username":null},"content":"voxpelli joined #indiewebcamp"}
2011-08-04 08:23:52.000000 {"type":"join","timestamp":"1312446232.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-08-04 09:58:27.000000 {"type":"join","timestamp":"1312451907.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-08-04 10:16:03.000000 {"type":"join","timestamp":"1312452963.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-08-04 11:36:01.000000 {"type":"join","timestamp":"1312457761.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-08-04 11:45:47.000000 {"type":"join","timestamp":"1312458347.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"voxpelli","nickname":"voxpelli","name":"voxpelli","username":null},"content":"voxpelli joined #indiewebcamp"}
2011-08-04 13:23:22.000000 {"type":"join","timestamp":"1312464202.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-08-04 15:34:50.000000 {"type":"join","timestamp":"1312472090.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx_","nickname":"peck_lx_","name":"peck_lx_","username":null},"content":"peck_lx_ joined #indiewebcamp"}
2011-08-04 16:30:38.000000 {"type":"join","timestamp":"1312475438.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-08-04 16:38:49.000000 {"type":"join","timestamp":"1312475929.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"MarkDilley","nickname":"MarkDilley","name":"MarkDilley","username":null},"content":"MarkDilley joined #indiewebcamp"}
2011-08-04 17:20:34.000000 {"type":"join","timestamp":"1312478434.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"quartzjer","nickname":"quartzjer","name":"quartzjer","username":null},"content":"quartzjer joined #indiewebcamp"}
2011-08-04 18:07:32.000000 {"type":"join","timestamp":"1312481252.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"abki_","nickname":"abki_","name":"abki_","username":null},"content":"abki_ joined #indiewebcamp"}
2011-08-04 18:32:38.000000 {"type":"join","timestamp":"1312482758.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-08-04 18:54:51.000000 {"type":"join","timestamp":"1312484091.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-08-04 19:17:15.000000 {"type":"join","timestamp":"1312485435.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-04 19:20:55.000000 {"type":"join","timestamp":"1312485655.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"abki__","nickname":"abki__","name":"abki__","username":null},"content":"abki__ joined #indiewebcamp"}
2011-08-04 19:33:26.000000 {"type":"join","timestamp":"1312486406.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-04 19:57:17.000000 {"type":"join","timestamp":"1312487837.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak_","nickname":"brennannovak_","name":"brennannovak_","username":null},"content":"brennannovak_ joined #indiewebcamp"}
2011-08-04 20:09:34.000000 {"type":"join","timestamp":"1312488574.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-08-04 21:34:00.000000 {"type":"join","timestamp":"1312493640.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"MarkDilley","nickname":"MarkDilley","name":"MarkDilley","username":null},"content":"MarkDilley joined #indiewebcamp"}
2011-08-04 21:51:42.000000 {"type":"join","timestamp":"1312494702.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle","nickname":"josephboyle","name":"josephboyle","username":null},"content":"josephboyle joined #indiewebcamp"}
2011-08-04 22:01:28.000000 {"type":"join","timestamp":"1312495288.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-04 23:02:57.000000 {"type":"join","timestamp":"1312498977.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
