2011-08-27 00:28:20.000000 {"type":"join","timestamp":"1314404900.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"shaners","nickname":"shaners","name":"shaners","username":null},"content":"shaners joined #indiewebcamp"}
2011-08-27 00:41:58.000000 {"type":"join","timestamp":"1314405718.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-27 01:46:43.000000 {"type":"join","timestamp":"1314409603.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 02:42:58.000000 {"type":"join","timestamp":"1314412978.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 02:57:43.000000 {"type":"join","timestamp":"1314413863.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 03:11:44.000000 {"type":"join","timestamp":"1314414704.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 03:32:28.000000 {"type":"join","timestamp":"1314415948.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-27 03:33:23.000000 {"type":"join","timestamp":"1314416003.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 04:21:14.000000 {"type":"join","timestamp":"1314418874.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek_","nickname":"tantek_","name":"tantek_","username":null},"content":"tantek_ joined #indiewebcamp"}
2011-08-27 05:22:28.000000 {"type":"join","timestamp":"1314422548.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-27 05:29:09.000000 {"type":"join","timestamp":"1314422949.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 05:46:18.000000 {"type":"join","timestamp":"1314423978.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 06:11:03.000000 {"type":"join","timestamp":"1314425463.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 15:10:22.000000 {"type":"join","timestamp":"1314457822.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 15:23:28.000000 {"type":"join","timestamp":"1314458608.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 15:24:57.000000 {"type":"join","timestamp":"1314458697.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-08-27 17:01:09.000000 {"type":"join","timestamp":"1314464469.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 18:34:56.000000 {"type":"join","timestamp":"1314470096.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 18:59:36.000000 {"type":"join","timestamp":"1314471576.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-27 19:35:33.000000 {"type":"join","timestamp":"1314473733.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"DawnFoster","nickname":"DawnFoster","name":"DawnFoster","username":null},"content":"DawnFoster joined #indiewebcamp"}
2011-08-27 19:37:09.000000 {"type":"join","timestamp":"1314473829.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 21:15:54.000000 {"type":"join","timestamp":"1314479754.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
2011-08-27 23:11:29.000000 {"type":"join","timestamp":"1314486689.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-08-27 23:18:32.000000 {"type":"join","timestamp":"1314487112.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-08-27 23:29:34.000000 {"type":"join","timestamp":"1314487774.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dbounds","nickname":"dbounds","name":"dbounds","username":null},"content":"dbounds joined #indiewebcamp"}
