2011-10-28 06:05:45.000000 {"type":"join","timestamp":"1319781945.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy_","nickname":"sivy_","name":"sivy_","username":null},"content":"sivy_ joined #indiewebcamp"}
2011-10-28 06:12:54.000000 {"type":"join","timestamp":"1319782374.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-10-28 07:42:37.000000 {"type":"join","timestamp":"1319787757.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-10-28 07:54:02.000000 {"type":"join","timestamp":"1319788442.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"sivy","nickname":"sivy","name":"sivy","username":null},"content":"sivy joined #indiewebcamp"}
2011-10-28 08:24:17.000000 {"type":"join","timestamp":"1319790257.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-10-28 09:41:38.000000 {"type":"join","timestamp":"1319794898.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-10-28 15:04:22.000000 {"type":"join","timestamp":"1319814262.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2011-10-28 15:27:31.000000 {"type":"join","timestamp":"1319815651.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-10-28 15:56:31.000000 {"type":"join","timestamp":"1319817391.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2011-10-28 18:01:07.000000 {"type":"join","timestamp":"1319824867.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-10-28 18:13:22.000000 {"type":"join","timestamp":"1319825602.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"peck_lx","nickname":"peck_lx","name":"peck_lx","username":null},"content":"peck_lx joined #indiewebcamp"}
2011-10-28 18:42:20.000000 {"type":"join","timestamp":"1319827340.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"shaners","nickname":"shaners","name":"shaners","username":null},"content":"shaners joined #indiewebcamp"}
2011-10-28 19:35:09.000000 {"type":"join","timestamp":"1319830509.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"adam_w","nickname":"adam_w","name":"adam_w","username":null},"content":"adam_w joined #indiewebcamp"}
2011-10-28 20:02:53.000000 {"type":"join","timestamp":"1319832173.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"adam_w","nickname":"adam_w","name":"adam_w","username":null},"content":"adam_w joined #indiewebcamp"}
2011-10-28 20:05:56.000000 {"type":"join","timestamp":"1319832356.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #indiewebcamp"}
2011-10-28 20:14:36.000000 {"type":"join","timestamp":"1319832876.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2011-10-28 20:56:19.000000 {"type":"join","timestamp":"1319835379.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2011-10-28 21:33:35.000000 {"type":"join","timestamp":"1319837615.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"adam_w","nickname":"adam_w","name":"adam_w","username":null},"content":"adam_w joined #indiewebcamp"}
2011-10-28 22:08:39.000000 {"type":"join","timestamp":"1319839719.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"evanpro","nickname":"evanpro","name":"evanpro","username":null},"content":"evanpro joined #indiewebcamp"}
