2012-02-11 00:27:10.000000 {"type":"join","timestamp":"1328920030.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri_","nickname":"danbri_","name":"danbri_","username":null},"content":"danbri_ joined #indiewebcamp"}
2012-02-11 01:57:23.000000 {"type":"join","timestamp":"1328925443.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-11 01:58:13.000000 {"type":"join","timestamp":"1328925493.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida_","nickname":"davida_","name":"davida_","username":null},"content":"davida_ joined #indiewebcamp"}
2012-02-11 03:24:27.000000 {"type":"join","timestamp":"1328930667.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-11 06:00:58.000000 {"type":"join","timestamp":"1328940058.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-02-11 06:17:01.000000 {"type":"join","timestamp":"1328941021.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"shaners","nickname":"shaners","name":"shaners","username":null},"content":"shaners joined #indiewebcamp"}
2012-02-11 07:59:44.000000 {"type":"join","timestamp":"1328947184.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 08:40:11.000000 {"type":"join","timestamp":"1328949611.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 08:40:54.000000 {"type":"join","timestamp":"1328949654.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-02-11 08:50:11.000000 {"type":"join","timestamp":"1328950211.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 09:00:27.000000 {"type":"join","timestamp":"1328950827.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 09:00:56.000000 {"type":"join","timestamp":"1328950856.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Guest85774","nickname":"Guest85774","name":"Guest85774","username":null},"content":"Guest85774 joined #indiewebcamp"}
2012-02-11 09:01:27.000000 {"type":"join","timestamp":"1328950887.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii_","nickname":"wajiii_","name":"wajiii_","username":null},"content":"wajiii_ joined #indiewebcamp"}
2012-02-11 09:01:55.000000 {"type":"join","timestamp":"1328950915.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii_","nickname":"wajiii_","name":"wajiii_","username":null},"content":"wajiii_ joined #indiewebcamp"}
2012-02-11 09:05:40.000000 {"type":"join","timestamp":"1328951140.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii_","nickname":"wajiii_","name":"wajiii_","username":null},"content":"wajiii_ joined #indiewebcamp"}
2012-02-11 09:06:10.000000 {"type":"join","timestamp":"1328951170.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Guest40577","nickname":"Guest40577","name":"Guest40577","username":null},"content":"Guest40577 joined #indiewebcamp"}
2012-02-11 09:10:41.000000 {"type":"join","timestamp":"1328951441.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:11:10.000000 {"type":"join","timestamp":"1328951470.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:16:11.000000 {"type":"join","timestamp":"1328951771.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:20:41.000000 {"type":"join","timestamp":"1328952041.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:21:11.000000 {"type":"join","timestamp":"1328952071.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:25:40.000000 {"type":"join","timestamp":"1328952340.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:26:11.000000 {"type":"join","timestamp":"1328952371.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:30:41.000000 {"type":"join","timestamp":"1328952641.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:31:10.000000 {"type":"join","timestamp":"1328952670.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:35:41.000000 {"type":"join","timestamp":"1328952941.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:36:11.000000 {"type":"join","timestamp":"1328952971.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:41:11.000000 {"type":"join","timestamp":"1328953271.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:46:10.000000 {"type":"join","timestamp":"1328953570.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:50:41.000000 {"type":"join","timestamp":"1328953841.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:51:11.000000 {"type":"join","timestamp":"1328953871.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 09:55:58.000000 {"type":"join","timestamp":"1328954158.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii-","nickname":"wajiii-","name":"wajiii-","username":null},"content":"wajiii- joined #indiewebcamp"}
2012-02-11 10:01:27.000000 {"type":"join","timestamp":"1328954487.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:02:57.000000 {"type":"join","timestamp":"1328954577.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"mime","nickname":"mime","name":"mime","username":null},"content":"mime joined #indiewebcamp"}
