2020-02-29 00:37:07.254200 {"type":"join","timestamp":1582936627.2542143,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 00:40:55.525200 {"type":"join","timestamp":1582936855.5252073,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Jeff_Hawkins]","nickname":"[Jeff_Hawkins]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 01:49:38.854700 {"type":"join","timestamp":1582940978.8547006,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"__minoru__shirae","nickname":"__minoru__shirae","username":"~shiraeesh","name":null,"photo":null,"url":null,"tz":null,"host":"109.166.56.26"},"content":null,"modes":[]}
2020-02-29 01:55:40.869300 {"type":"join","timestamp":1582941340.8692613,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 02:55:03.540400 {"type":"join","timestamp":1582944903.540358,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"en3r0","nickname":"en3r0","username":"~en3r0","name":"ZNC - https:\/\/znc.in","photo":null,"url":null,"tz":null,"host":"2605:a000:1236:8300:21e:6ff:fe31:1ec6"},"content":null,"modes":[]}
2020-02-29 03:42:15.461000 {"type":"join","timestamp":1582947735.460995,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 03:42:17.137600 {"type":"join","timestamp":1582947737.1375623,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 04:11:43.304500 {"type":"join","timestamp":1582949503.3045356,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KempfCreative","nickname":"KempfCreative","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"vel85ocity07.v.subnet.rcn.com"},"content":null,"modes":[]}
2020-02-29 04:49:33.369500 {"type":"join","timestamp":1582951773.3695378,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"209.6.194.107"},"content":null,"modes":[]}
2020-02-29 04:49:33.674200 {"type":"join","timestamp":1582951773.6741698,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"209.6.194.107"},"content":null,"modes":[]}
2020-02-29 05:01:27.142900 {"type":"join","timestamp":1582952487.1428955,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 05:11:52.322700 {"type":"join","timestamp":1582953112.3226979,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
