2020-04-06 00:03:08.153800 {"type":"join","timestamp":1586131388.15379,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"plutes","nickname":"plutes","username":"~plutes","name":"plutonic","photo":null,"url":null,"tz":null,"host":"cpc143860-cosh20-2-0-cust122.6-1.cable.virginm.net"},"content":null,"modes":[]}
2020-04-06 00:14:36.184700 {"type":"join","timestamp":1586132076.184684,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"markoong","nickname":"markoong","username":"~masrk","name":null,"photo":null,"url":null,"tz":null,"host":"194.59.250.218"},"content":null,"modes":[]}
2020-04-06 00:48:49.859700 {"type":"join","timestamp":1586134129.8596919,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"irisisgay","nickname":"irisisgay","username":"~irisisgay","name":null,"photo":null,"url":null,"tz":null,"host":"97-120-7-164.ptld.qwest.net"},"content":null,"modes":[]}
2020-04-06 01:20:26.118600 {"type":"join","timestamp":1586136026.1185534,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-06 02:21:58.123800 {"type":"join","timestamp":1586139718.1238484,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"marcusr","nickname":"marcusr","username":"~marcusr","name":"https:\/\/convos.by\/","photo":null,"url":null,"tz":null,"host":"mojo\/viking\/marcusr"},"content":null,"modes":[]}
2020-04-06 02:25:29.315500 {"type":"join","timestamp":1586139929.315523,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"irisisgay","nickname":"irisisgay","username":"~irisisgay","name":null,"photo":null,"url":null,"tz":"US\/Pacific","host":"97-120-7-164.ptld.qwest.net"},"content":null,"modes":[]}
2020-04-06 02:25:43.135300 {"type":"join","timestamp":1586139943.1352842,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-06 02:59:22.133100 {"type":"join","timestamp":1586141962.1330688,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"a_chou","nickname":"a_chou","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"2601:182:c901:8d00:10bd:3a62:a4ff:8a4"},"content":null,"modes":[]}
2020-04-06 03:01:16.424600 {"type":"join","timestamp":1586142076.42465,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"a_chou","nickname":"a_chou","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"2601:182:c901:8d00:10bd:3a62:a4ff:8a4"},"content":null,"modes":[]}
2020-04-06 03:19:08.155200 {"type":"join","timestamp":1586143148.155185,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-06 03:22:12.119100 {"type":"join","timestamp":1586143332.1190856,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"marcusr","nickname":"marcusr","username":"~marcusr","name":"https:\/\/convos.by\/","photo":null,"url":null,"tz":null,"host":"mojo\/viking\/marcusr"},"content":null,"modes":[]}
