2020-04-16 00:04:41.514500 {"type":"join","timestamp":1586995481.5144985,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-16 00:05:52.454000 {"type":"message","timestamp":1586995552.4540374,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"also http:\/\/blog.dataportability.org\/ \"Error establishing a database connection\" oh the irony","modes":["voice"]}
2020-04-16 00:06:08.715400 {"type":"message","timestamp":1586995568.715428,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"\ud83d\ude02","modes":["voice","op"]}
2020-04-16 00:12:17.135400 {"type":"message","timestamp":1586995937.1354053,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"aww https:\/\/stream.withknown.com\/ is also down. only the home page https:\/\/withknown.com\/ is still up","modes":["voice"]}
2020-04-16 00:40:53.012000 {"type":"join","timestamp":1586997653.0120037,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bear_","nickname":"bear_","username":"~freenode","name":null,"photo":"https:\/\/bear.im\/images\/bear_128x128.jpg","url":"http:\/\/Bear.im","tz":"America\/New_York","host":"c-68-80-178-115.hsd1.de.comcast.net"},"content":null,"modes":[]}
2020-04-16 00:53:54.492100 {"type":"join","timestamp":1586998434.4920828,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"tectonic","nickname":"tectonic","username":"~tectonic","name":null,"photo":null,"url":null,"tz":null,"host":"76-226-162-56.lightspeed.sntcca.sbcglobal.net"},"content":null,"modes":[]}
2020-04-16 00:58:49.161000 {"type":"join","timestamp":1586998729.161016,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"eeril","nickname":"eeril","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-16 01:06:14.938000 {"type":"message","timestamp":1586999174.938008,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"do we have a lkink for the west-coast meetup?","modes":[]}
2020-04-16 01:06:16.440700 {"type":"join","timestamp":1586999176.4406617,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Kevin_Faaborg]","nickname":"[Kevin_Faaborg]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-16 01:06:17.528200 {"type":"message","timestamp":1586999177.5282488,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Kevin_Faaborg]","nickname":"[Kevin_Faaborg]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"is there a zoom link for right now?","modes":["voice"]}
2020-04-16 01:06:17.717000 {"type":"message","timestamp":1586999177.7169976,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Kevin_Faaborg]","nickname":"[Kevin_Faaborg]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"https:\/\/events.indieweb.org\/2020\/04\/online-homebrew-website-club-west-coast-v0BQQ1BYfuhI","modes":["voice"]}
2020-04-16 01:11:20.169700 {"type":"join","timestamp":1586999480.169722,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-16 01:11:20.622400 {"type":"message","timestamp":1586999480.6224248,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":"[Kevin_Faaborg] Kongaloosh: Just saw in the other channel that tantek is having some trouble with his laptop","modes":["voice"]}
2020-04-16 01:11:52.412200 {"type":"message","timestamp":1586999512.412225,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"yeah and I'm not setup to create a zoom link apparently \ud83d\ude15","modes":["voice"]}
2020-04-16 01:12:06.462700 {"type":"message","timestamp":1586999526.462697,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"talky.io?","modes":[]}
2020-04-16 01:12:11.184300 {"type":"message","timestamp":1586999531.1842954,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"might be a solution?","modes":[]}
2020-04-16 01:12:27.098400 {"type":"message","timestamp":1586999547.0984228,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":"tantek: Should I setup a google meet?","modes":["voice"]}
2020-04-16 01:12:46.494600 {"type":"message","timestamp":1586999566.4945889,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"prtksxna, go for it","modes":["voice"]}
2020-04-16 01:13:03.661700 {"type":"message","timestamp":1586999583.661745,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"https:\/\/talky.io\/hwc","modes":[]}
2020-04-16 01:13:11.905100 {"type":"message","timestamp":1586999591.9051104,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"or a google meet :shrugs:","modes":[]}
2020-04-16 01:14:05.961200 {"type":"message","timestamp":1586999645.9611938,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"I know google meet works on my setup. trying Talky","modes":["voice"]}
2020-04-16 01:14:10.154600 {"type":"message","timestamp":1586999650.1546423,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":"https:\/\/meet.google.com\/jhm-oaft-kay?hs=122","modes":["voice"]}
2020-04-16 01:14:12.399100 {"type":"message","timestamp":1586999652.3990552,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":"okie dokie","modes":[]}
