2016-09-06 00:30:43.086000 {"type":"join","timestamp":"1473121843.086000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"davidmead","nickname":"davidmead","name":"davidmead","username":null},"content":""}
2016-09-06 03:05:41.133000 {"type":"join","timestamp":"1473131141.133000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 03:21:05.519000 {"type":"join","timestamp":"1473132065.519000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek_","nickname":"tantek_","name":"tantek_","username":null},"content":""}
2016-09-06 03:53:30.649000 {"type":"join","timestamp":"1473134010.649000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 05:24:10.073000 {"type":"join","timestamp":"1473139450.073000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 05:24:31.824000 {"type":"message","timestamp":"1473139471.824000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"sensiblemn","nickname":"sensiblemn","name":"sensiblemn","username":null},"content":"aaronpk: I was thinking about attending IndieWebCamp LA and Chris Aldrich, the host listed on indieweb.org, uses Known. adjacent to the next indieweb summit also makes sense tho."}
2016-09-06 05:24:54.211000 {"type":"message","timestamp":"1473139494.211000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"sensiblemn","nickname":"sensiblemn","name":"sensiblemn","username":null},"content":"#KnownCon"}
2016-09-06 05:51:27.841000 {"type":"join","timestamp":"1473141087.841000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 06:22:28.824000 {"type":"join","timestamp":"1473142948.824000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 07:01:14.141000 {"type":"join","timestamp":"1473145274.141000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 07:47:37.020000 {"type":"join","timestamp":"1473148057.020000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm_","nickname":"loicm_","name":"loicm_","username":null},"content":""}
2016-09-06 09:29:18.422000 {"type":"join","timestamp":"1473154158.422000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm_","nickname":"loicm_","name":"loicm_","username":null},"content":""}
2016-09-06 10:21:33.089000 {"type":"join","timestamp":"1473157293.089000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm_","nickname":"loicm_","name":"loicm_","username":null},"content":""}
2016-09-06 14:53:28.042000 {"type":"message","timestamp":"1473173608.042000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"sensiblemn cool! November is far enough away you still have time to organize something. I'd hate to make you wait almost a whole year til the next IWS in June or July"}
2016-09-06 15:41:15.760000 {"type":"join","timestamp":"1473176475.760000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 16:09:22.994000 {"type":"join","timestamp":"1473178162.994000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"pvagner","nickname":"pvagner","name":"pvagner","username":null},"content":""}
2016-09-06 17:08:51.155000 {"type":"join","timestamp":"1473181731.155000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-09-06 17:35:56.905000 {"type":"join","timestamp":"1473183356.905000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"plindner","nickname":"plindner","name":"plindner","username":null},"content":""}
2016-09-06 18:46:24.427000 {"type":"join","timestamp":"1473187584.427000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"endi","nickname":"endi","name":"endi","username":null},"content":""}
2016-09-06 18:55:11.437000 {"type":"join","timestamp":"1473188111.437000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"kerbingamer376","nickname":"kerbingamer376","name":"kerbingamer376","username":null},"content":""}
2016-09-06 21:40:35.970000 {"type":"join","timestamp":"1473198035.970000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"Madgod","nickname":"Madgod","name":"Madgod","username":null},"content":""}
2016-09-06 22:10:11.002000 {"type":"join","timestamp":"1473199811.002000","network":"irc","server":"freenode","channel":{"id":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
