2012-06-29 00:27:34.000000 {"type":"join","timestamp":"1340929654.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"polvo","nickname":"polvo","name":"polvo","username":null},"content":"polvo joined #microformats"}
2012-06-29 00:44:37.000000 {"type":"join","timestamp":"1340930677.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2012-06-29 05:14:28.000000 {"type":"join","timestamp":"1340946868.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2012-06-29 05:47:22.000000 {"type":"join","timestamp":"1340948842.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 05:52:41.000000 {"type":"message","timestamp":"1340949161.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/bbrian017 :: Hello Author hReview plugin http:\/\/t.co\/RYHaSd5u @famousbloggers"}
2012-06-29 05:52:41.000000 {"type":"message","timestamp":"1340949161.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/blogengage :: Hello Author hReview plugin http:\/\/t.co\/EsN3k5N0 @famousbloggers"}
2012-06-29 06:20:28.000000 {"type":"join","timestamp":"1340950828.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2012-06-29 06:54:19.000000 {"type":"join","timestamp":"1340952859.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:01:11.000000 {"type":"join","timestamp":"1340953271.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:01:46.000000 {"type":"join","timestamp":"1340953306.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:02:24.000000 {"type":"join","timestamp":"1340953344.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:03:05.000000 {"type":"join","timestamp":"1340953385.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:03:42.000000 {"type":"join","timestamp":"1340953422.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:04:30.000000 {"type":"join","timestamp":"1340953470.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:05:10.000000 {"type":"join","timestamp":"1340953510.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:05:50.000000 {"type":"join","timestamp":"1340953550.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:06:26.000000 {"type":"join","timestamp":"1340953586.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:07:03.000000 {"type":"join","timestamp":"1340953623.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:07:44.000000 {"type":"join","timestamp":"1340953664.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:08:22.000000 {"type":"join","timestamp":"1340953702.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:08:59.000000 {"type":"join","timestamp":"1340953739.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:09:36.000000 {"type":"join","timestamp":"1340953776.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:10:19.000000 {"type":"join","timestamp":"1340953819.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:10:59.000000 {"type":"join","timestamp":"1340953859.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:11:38.000000 {"type":"join","timestamp":"1340953898.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 07:12:15.000000 {"type":"join","timestamp":"1340953935.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 07:36:24.000000 {"type":"join","timestamp":"1340955384.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2012-06-29 07:59:19.000000 {"type":"join","timestamp":"1340956759.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
