2013-02-25 00:19:42.000000 {"type":"join","timestamp":"1361751582.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krijnh","nickname":"krijnh","name":"krijnh","username":null},"content":"krijnh joined #microformats"}
2013-02-25 00:37:18.000000 {"type":"join","timestamp":"1361752638.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 00:41:45.000000 {"type":"join","timestamp":"1361752905.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2013-02-25 00:43:40.000000 {"type":"message","timestamp":"1361753020.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Fakhricool\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2013-02-25 00:43:45.000000 {"type":"message","timestamp":"1361753025.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302User:Fakhricool\u000310]]\": content was spam\u0003"}
2013-02-25 01:20:01.000000 {"type":"join","timestamp":"1361755201.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2013-02-25 01:37:58.000000 {"type":"join","timestamp":"1361756278.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 02:38:41.000000 {"type":"join","timestamp":"1361759921.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 03:01:35.000000 {"type":"join","timestamp":"1361761295.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 03:18:29.000000 {"type":"message","timestamp":"1361762309.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307The Varied Promo Codes Given By Body Media\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=The_Varied_Promo_Codes_Given_By_Body_Media&rcid=67670\u0003 \u00035*\u0003 \u000303Arolf54\u0003 \u00035*\u0003 (+3561) \u000310Health is wealth, as the saying goes, because if you are unwell, you could miss several things like career, family affairs and other duties of that day. A number of folks are involved in various fitness programs so as to keep their body healthy. But,\u0003"}
2013-02-25 03:36:11.000000 {"type":"join","timestamp":"1361763371.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
