2014-11-09 00:05:46.137000 {"type":"join","timestamp":"1415491546.137000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"iwaim","nickname":"iwaim","name":"iwaim","username":null},"content":"iwaim joined #microformats"}
2014-11-09 00:43:54.946000 {"type":"join","timestamp":"1415493834.946000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krendil","nickname":"krendil","name":"krendil","username":null},"content":"krendil joined #microformats"}
2014-11-09 01:17:29.755000 {"type":"join","timestamp":"1415495849.755000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-11-09 01:52:07.150000 {"type":"join","timestamp":"1415497927.150000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks__","nickname":"KevinMarks__","name":"KevinMarks__","username":null},"content":"KevinMarks__ joined #microformats"}
2014-11-09 03:14:27.482000 {"type":"join","timestamp":"1415502867.482000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-11-09 03:46:44.113000 {"type":"join","timestamp":"1415504804.113000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"hectorMcSpector joined #microformats"}
2014-11-09 03:47:12.332000 {"type":"message","timestamp":"1415504832.332000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"hi folks"}
2014-11-09 03:47:14.188000 {"type":"message","timestamp":"1415504834.188000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"I am developing the Apache Any23 Java library for some time now"}
2014-11-09 03:47:18.163000 {"type":"message","timestamp":"1415504838.163000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"We support Microformats"}
2014-11-09 03:47:26.675000 {"type":"message","timestamp":"1415504846.675000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"But legacy stuff, not Mucroformats2"}
2014-11-09 03:47:42.959000 {"type":"message","timestamp":"1415504862.959000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"s\/Mucroformats2\/Microformats2"}
2014-11-09 03:47:43.011000 {"type":"message","timestamp":"1415504863.011000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"hectorMcSpector meant to say: But legacy stuff, not \u0002Microformats2\u0002"}
2014-11-09 03:48:25.297000 {"type":"message","timestamp":"1415504905.297000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"I wonder if there is any documentation on the site which explains the original Microformats spec?"}
2014-11-09 03:49:10.555000 {"type":"message","timestamp":"1415504950.555000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"I am making the effort to implement Microformats2 support in Any23"}
2014-11-09 03:49:17.745000 {"type":"message","timestamp":"1415504957.745000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"any pointers would be great"}
2014-11-09 03:49:19.714000 {"type":"message","timestamp":"1415504959.714000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hectorMcSpector","nickname":"hectorMcSpector","name":"hectorMcSpector","username":null},"content":"Thank you"}
2014-11-09 04:53:25.335000 {"type":"join","timestamp":"1415508805.335000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-11-09 04:54:24.570000 {"type":"join","timestamp":"1415508864.570000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
