2016-01-27 00:11:50.419000 {"type":"join","timestamp":"1453853510.419000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gordonb","nickname":"gordonb","name":"gordonb","username":null},"content":"gordonb joined #microformats"}
2016-01-27 00:52:27.556000 {"type":"join","timestamp":"1453855947.556000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2016-01-27 01:58:52.584000 {"type":"join","timestamp":"1453859932.584000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2016-01-27 02:02:50.111000 {"type":"join","timestamp":"1453860170.111000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"codemonkey","nickname":"codemonkey","name":"codemonkey","username":null},"content":"codemonkey joined #microformats"}
2016-01-27 02:06:10.384000 {"type":"message","timestamp":"1453860370.384000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@AllTheTwits] Published a new post: Microformats in Firefox 3 ( http:\/\/www.odrakir.com\/blog\/?p=471 ) (http:\/\/twtr.io\/18fytp5i65s)"}
2016-01-27 03:32:02.960000 {"type":"join","timestamp":"1453865522.960000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 04:28:51.687000 {"type":"join","timestamp":"1453868931.687000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 04:54:34.479000 {"type":"message","timestamp":"1453870474.479000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@allthetw_ebooks] in and get a good way of inputting microformats that doesn't (yet) (http:\/\/twtr.io\/18gE2JZA6w1)"}
2016-01-27 05:46:59.268000 {"type":"message","timestamp":"1453873619.268000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@AllTheTwits] Fiddling with my blog post: Microformats in Firefox 3 ( http:\/\/www.odrakir.com\/blog\/?p=471 ) (http:\/\/twtr.io\/18gJk3k70uQ)"}
2016-01-27 06:09:08.247000 {"type":"join","timestamp":"1453874948.247000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 06:40:31.747000 {"type":"join","timestamp":"1453876831.747000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 06:49:46.788000 {"type":"join","timestamp":"1453877386.788000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","name":"ben_thatmustbeme","username":null},"content":"ben_thatmustbeme joined #microformats"}
2016-01-27 07:17:42.851000 {"type":"join","timestamp":"1453879062.851000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 08:45:28.352000 {"type":"join","timestamp":"1453884328.352000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2016-01-27 08:45:28.708000 {"type":"join","timestamp":"1453884328.708000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2016-01-27 10:33:07.995000 {"type":"join","timestamp":"1453890787.995000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","name":"nitot","username":null},"content":"nitot joined #microformats"}
2016-01-27 12:20:43.531000 {"type":"join","timestamp":"1453897243.531000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Chordachi","nickname":"Chordachi","name":"Chordachi","username":null},"content":"Chordachi joined #microformats"}
2016-01-27 13:14:55.361000 {"type":"join","timestamp":"1453900495.361000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 13:39:22.396000 {"type":"join","timestamp":"1453901962.396000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 14:23:54.796000 {"type":"join","timestamp":"1453904634.796000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"TallTed","nickname":"TallTed","name":"TallTed","username":null},"content":"TallTed joined #microformats"}
2016-01-27 14:56:30.833000 {"type":"join","timestamp":"1453906590.833000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 15:18:31.843000 {"type":"join","timestamp":"1453907911.843000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 15:36:15.520000 {"type":"message","timestamp":"1453908975.520000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@cootetom] @simonhamp @fitzpas thanks both. I will go with microformats. The definition list felt wrong. (http:\/\/twtr.io\/18hBiVSNAmR)"}
2016-01-27 15:39:25.155000 {"type":"message","timestamp":"1453909165.155000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@otygblodhemn] Microdata et https:\/\/t.co\/soDDcWe0IH, la s\u00e9mantique chirurgicale via @alsacreations - http:\/\/www.alsacreations.com\/article\/lire\/1509-microdata-microformats-schema-semantique.html (http:\/\/twtr.io\/18hC0VYnB4_)"}
2016-01-27 15:56:35.754000 {"type":"join","timestamp":"1453910195.754000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"MSiep","nickname":"MSiep","name":"MSiep","username":null},"content":"MSiep joined #microformats"}
2016-01-27 16:16:16.008000 {"type":"join","timestamp":"1453911376.008000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JohnBeales","nickname":"JohnBeales","name":"JohnBeales","username":null},"content":"JohnBeales joined #microformats"}
2016-01-27 16:35:09.296000 {"type":"join","timestamp":"1453912509.296000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2016-01-27 16:41:33.380000 {"type":"join","timestamp":"1453912893.380000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
