2018-01-17 00:39:11.007800 {"type":"join","timestamp":1516149551.0078,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":null,"photo":"https:\/\/eddiehinkle.com\/images\/profile.jpg","url":"http:\/\/eddiehinkle.com","tz":"US\/Eastern"},"content":null,"modes":[]}
2018-01-17 03:42:23.930300 {"type":"join","timestamp":1516160543.9303,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[joe]","nickname":"[joe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 05:28:25.748900 {"type":"join","timestamp":1516166905.7489,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 08:13:49.884100 {"type":"join","timestamp":1516176829.8841,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"barpthewire","nickname":"barpthewire","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 08:30:49.717100 {"type":"join","timestamp":1516177849.7171,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"barpthewire","nickname":"barpthewire","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 08:43:59.883800 {"type":"join","timestamp":1516178639.8838,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"barpthewire","nickname":"barpthewire","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 09:08:36.824800 {"type":"join","timestamp":1516180116.8248,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 11:18:10.549100 {"type":"join","timestamp":1516187890.5491,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 11:53:11.710300 {"type":"join","timestamp":1516189991.7103,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 11:57:09.238100 {"type":"join","timestamp":1516190229.2381,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","username":"~quassel","name":"Ben Roberts","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 12:37:59.792800 {"type":"join","timestamp":1516192679.7928,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 12:39:41.210900 {"type":"join","timestamp":1516192781.2109,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot_","nickname":"nitot_","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 12:42:23.774400 {"type":"join","timestamp":1516192943.7744,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot_","nickname":"nitot_","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 13:52:23.927300 {"type":"join","timestamp":1516197143.9273,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-01-17 14:48:01.136100 {"type":"join","timestamp":1516200481.1361,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-17 14:49:46.764600 {"type":"join","timestamp":1516200586.7646,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":"http:\/\/standblog.org","tz":"Europe\/Paris"},"content":null,"modes":[]}
2018-01-17 14:50:22.233100 {"type":"join","timestamp":1516200622.2331,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":"http:\/\/standblog.org","tz":"Europe\/Paris"},"content":null,"modes":[]}
