2018-06-20 00:35:51.999200 {"type":"join","timestamp":1529454951.9992,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT"},"content":null,"modes":[]}
2018-06-20 00:48:01.703800 {"type":"join","timestamp":1529455681.7038,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[miklb]","nickname":"[miklb]","username":"~slackuser","name":null,"photo":"http:\/\/cdn.miklb.com\/images\/profile_4_16.jpg","url":"http:\/\/miklb.com","tz":"America\/New_York"},"content":null,"modes":[]}
2018-06-20 03:46:45.574800 {"type":"join","timestamp":1529466405.5748,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Garbee","nickname":"Garbee","username":"uid21171","name":"Jonathan","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 05:22:48.926400 {"type":"join","timestamp":1529472168.9264,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"twisted`","nickname":"twisted`","username":"sid6794","name":"twisted","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 05:23:35.910900 {"type":"join","timestamp":1529472215.9109,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"bigbluehat","nickname":"bigbluehat","username":"sid632","name":"BigBlueHat","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 05:24:15.770000 {"type":"join","timestamp":1529472255.77,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","username":"sid455","name":"Frances","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 05:29:15.917200 {"type":"join","timestamp":1529472555.9172,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JonathanNeal","nickname":"JonathanNeal","username":"sid5831","name":"Jonathan Neal","photo":"https:\/\/0.gravatar.com\/avatar\/2889096995a38fa697ab83d8b59a5637","url":"http:\/\/jonathantneal.com","tz":"Los_Angeles"},"content":null,"modes":[]}
2018-06-20 05:36:47.526800 {"type":"join","timestamp":1529473007.5268,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"voxpelli","nickname":"voxpelli","username":"sid31634","name":"Pelle Wessman","photo":"http:\/\/voxpelli.com\/avatar.jpg","url":"http:\/\/kodfabrik.se","tz":"Europe\/Stockholm"},"content":null,"modes":[]}
2018-06-20 05:37:07.732700 {"type":"join","timestamp":1529473027.7327,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Garbee","nickname":"Garbee","username":"uid21171","name":"Jonathan","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 05:43:03.979500 {"type":"join","timestamp":1529473383.9795,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tantek__","nickname":"tantek__","username":"68015b2c","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 06:14:57.798900 {"type":"join","timestamp":1529475297.7989,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Garbee","nickname":"Garbee","username":"uid21171","name":"Jonathan","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 06:20:28.942200 {"type":"join","timestamp":1529475628.9422,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"twisted`","nickname":"twisted`","username":"sid6794","name":"twisted","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 06:21:37.088500 {"type":"join","timestamp":1529475697.0885,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","username":"sid455","name":"Frances","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 06:22:20.472900 {"type":"join","timestamp":1529475740.4729,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"bigbluehat","nickname":"bigbluehat","username":"sid632","name":"BigBlueHat","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 06:22:42.392400 {"type":"join","timestamp":1529475762.3924,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JonathanNeal","nickname":"JonathanNeal","username":"sid5831","name":"Jonathan Neal","photo":"https:\/\/0.gravatar.com\/avatar\/2889096995a38fa697ab83d8b59a5637","url":"http:\/\/jonathantneal.com","tz":"Los_Angeles"},"content":null,"modes":[]}
2018-06-20 06:22:57.483200 {"type":"join","timestamp":1529475777.4832,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"voxpelli","nickname":"voxpelli","username":"sid31634","name":"Pelle Wessman","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 09:28:12.316000 {"type":"join","timestamp":1529486892.316,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 10:38:52.352800 {"type":"join","timestamp":1529491132.3528,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"barpthewire","nickname":"barpthewire","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-06-20 12:04:56.083800 {"type":"message","timestamp":1529496296.0838,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"[@jgmac1106] @10Web_io I am building a website for a non-profit Board I sit on and want to upgrade Event Calendar WD to the pro version but noticed the SEO only included microdata do you think it would be hard to play with the views to add microformats2 and the\u2026 http:\/\/jgregorymcverry.com\/3685-2\/ (http:\/\/twtr.io\/1f9jpY27pkb)","modes":[]}
