2016-06-24 06:46:08.679000 {"type":"join","timestamp":"1466750768.679000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu_","nickname":"shepazu_","name":"shepazu_","username":null},"content":"shepazu_ joined #social"}
2016-06-24 08:20:19.480000 {"type":"join","timestamp":"1466756419.480000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud","nickname":"Arnaud","name":"Arnaud","username":null},"content":"Arnaud joined #social"}
2016-06-24 16:04:46.790000 {"type":"join","timestamp":"1466784286.790000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-06-24 16:41:30.061000 {"type":"join","timestamp":"1466786490.061000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-06-24 19:52:13.572000 {"type":"join","timestamp":"1466797933.572000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud","nickname":"Arnaud","name":"Arnaud","username":null},"content":"Arnaud joined #social"}
2016-06-24 20:02:36.904000 {"type":"join","timestamp":"1466798556.904000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-06-24 20:30:01.833000 {"type":"message","timestamp":"1466800201.833000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Sandro made 2 edits to [[Socialwg]] https:\/\/www.w3.org\/wiki\/index.php?diff=98747&oldid=98669"}
2016-06-24 20:30:01.838000 {"type":"message","timestamp":"1466800201.838000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Tantekelik made 2 edits to [[Socialwg]] https:\/\/www.w3.org\/wiki\/index.php?diff=98749&oldid=98747"}
2016-06-24 20:40:01.890000 {"type":"message","timestamp":"1466800801.890000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Rhiaro made 5 edits to [[Socialwg\/Addressing Issues]] https:\/\/www.w3.org\/wiki\/index.php?diff=98825&oldid=98728"}
2016-06-24 20:40:01.894000 {"type":"message","timestamp":"1466800801.894000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Sandro made 5 edits to [[Socialwg\/please review]] https:\/\/www.w3.org\/wiki\/index.php?diff=98826&oldid=0"}
2016-06-24 21:42:46.419000 {"type":"join","timestamp":"1466804566.419000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
