2016-07-20 00:02:32.503000 {"type":"join","timestamp":"1468972952.503000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"KevinMarks2","nickname":"KevinMarks2","name":"KevinMarks2","username":null},"content":""}
2016-07-20 02:38:36.217000 {"type":"join","timestamp":"1468982316.217000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 03:16:32.664000 {"type":"join","timestamp":"1468984592.664000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"rrika","nickname":"rrika","name":"rrika","username":null},"content":""}
2016-07-20 03:17:34.260000 {"type":"join","timestamp":"1468984654.260000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"csarven_","nickname":"csarven_","name":"csarven_","username":null},"content":""}
2016-07-20 03:50:14.205000 {"type":"join","timestamp":"1468986614.205000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":""}
2016-07-20 04:52:43.487000 {"type":"join","timestamp":"1468990363.487000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":""}
2016-07-20 05:42:39.300000 {"type":"join","timestamp":"1468993359.300000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 16:01:50.117000 {"type":"join","timestamp":"1469030510.117000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2016-07-20 16:40:17.670000 {"type":"join","timestamp":"1469032817.670000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"rhiaro","nickname":"rhiaro","name":"rhiaro","username":null},"content":""}
2016-07-20 16:50:02.761000 {"type":"message","timestamp":"1469033402.761000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Eprodrom made 1 edit to [[Socialwg\/2016-07-19]] https:\/\/www.w3.org\/wiki\/index.php?diff=99010&oldid=98998"}
2016-07-20 16:50:02.798000 {"type":"message","timestamp":"1469033402.798000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Rhiaro made 4 edits to [[Socialwg\/2016-07-19-minutes]] https:\/\/www.w3.org\/wiki\/index.php?diff=99014&oldid=0"}
2016-07-20 17:33:11.326000 {"type":"join","timestamp":"1469035991.326000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":""}
2016-07-20 17:40:52.590000 {"type":"join","timestamp":"1469036452.590000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 18:22:32.191000 {"type":"join","timestamp":"1469038952.191000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 18:44:15.178000 {"type":"join","timestamp":"1469040255.178000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 18:44:16.259000 {"type":"join","timestamp":"1469040256.259000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 19:09:52.103000 {"type":"join","timestamp":"1469041792.103000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 20:40:46.278000 {"type":"join","timestamp":"1469047246.278000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud","nickname":"Arnaud","name":"Arnaud","username":null},"content":""}
2016-07-20 20:42:13.777000 {"type":"join","timestamp":"1469047333.777000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud1","nickname":"Arnaud1","name":"Arnaud1","username":null},"content":""}
2016-07-20 20:46:04.064000 {"type":"join","timestamp":"1469047564.064000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 21:48:49.105000 {"type":"join","timestamp":"1469051329.105000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 22:38:47.182000 {"type":"join","timestamp":"1469054327.182000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 23:39:40.759000 {"type":"join","timestamp":"1469057980.759000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
2016-07-20 23:57:17.284000 {"type":"join","timestamp":"1469059037.284000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":""}
