2017-01-24 01:38:57.238000 {"type":"join","timestamp":"1485221937.238000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"strugee","nickname":"strugee","name":"strugee","username":null},"content":""}
2017-01-24 05:46:56.506000 {"type":"join","timestamp":"1485236816.506000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-01-24 06:25:05.179000 {"type":"join","timestamp":"1485239105.179000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-01-24 10:16:17.036000 {"type":"join","timestamp":"1485252977.036000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","name":"timbl","username":null},"content":""}
2017-01-24 11:12:24.216000 {"type":"join","timestamp":"1485256344.216000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"fabrixxm","nickname":"fabrixxm","name":"fabrixxm","username":null},"content":""}
2017-01-24 11:18:48.385000 {"type":"join","timestamp":"1485256728.385000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"fabrixxm1","nickname":"fabrixxm1","name":"fabrixxm1","username":null},"content":""}
2017-01-24 15:12:57.095000 {"type":"join","timestamp":"1485270777.095000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","name":"ben_thatmustbeme","username":null},"content":""}
2017-01-24 15:13:18.635000 {"type":"join","timestamp":"1485270798.635000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":""}
2017-01-24 15:34:19.628000 {"type":"join","timestamp":"1485272059.628000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","name":"timbl","username":null},"content":""}
2017-01-24 15:40:36.096000 {"type":"join","timestamp":"1485272436.096000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"fabrixxm","nickname":"fabrixxm","name":"fabrixxm","username":null},"content":""}
2017-01-24 16:21:28.122000 {"type":"join","timestamp":"1485274888.122000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":""}
2017-01-24 17:54:06.048000 {"type":"join","timestamp":"1485280446.048000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-01-24 18:57:20.533000 {"type":"join","timestamp":"1485284240.533000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
2017-01-24 21:00:56.181000 {"type":"message","timestamp":"1485291656.181000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@keithjgrant] @gfmorris And hot off the presses: https:\/\/www.w3.org\/TR\/webmention\/ (http:\/\/twtr.io\/1Mkrzx0SSLp)"}
2017-01-24 22:14:06.242000 {"type":"join","timestamp":"1485296046.242000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":""}
