2018-03-11 00:56:03.164700 {"type":"join","timestamp":1520729763.1647,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"bwn","nickname":"bwn","username":"~bwn","name":"bwn","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 01:30:03.335100 {"type":"join","timestamp":1520731803.3351,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"rigelk","nickname":"rigelk","username":"~acentau","name":"Dom Rith","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 01:34:30.186700 {"type":"join","timestamp":1520732070.1867,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"rigelk","nickname":"rigelk","username":"~acentau","name":"Dom Rith","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 01:38:47.691400 {"type":"join","timestamp":1520732327.6914,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"cdchapman","nickname":"cdchapman","username":"~cdchapman","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 01:48:27.605200 {"type":"message","timestamp":1520732907.6052,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Gargron","nickname":"Gargron","username":"~quassel","name":"Eugen","photo":null,"url":null,"tz":null},"content":"hey","modes":[]}
2018-03-11 01:48:31.065700 {"type":"message","timestamp":1520732911.0657,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Gargron","nickname":"Gargron","username":"~quassel","name":"Eugen","photo":null,"url":null,"tz":null},"content":"i need some indieweb help","modes":[]}
2018-03-11 01:48:33.201000 {"type":"message","timestamp":1520732913.201,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Gargron","nickname":"Gargron","username":"~quassel","name":"Eugen","photo":null,"url":null,"tz":null},"content":"with microformats","modes":[]}
2018-03-11 01:48:44.918600 {"type":"message","timestamp":1520732924.9186,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Gargron","nickname":"Gargron","username":"~quassel","name":"Eugen","photo":null,"url":null,"tz":null},"content":"should i ask here or is there a better channel to ask for that?","modes":[]}
2018-03-11 01:48:48.144200 {"type":"join","timestamp":1520732928.1442,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"cdchapman","nickname":"cdchapman","username":"~cdchapman","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 01:55:56.443000 {"type":"join","timestamp":1520733356.443,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"bengo","nickname":"bengo","username":"~bengo","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 02:00:43.311500 {"type":"join","timestamp":1520733643.3115,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"rigelk","nickname":"rigelk","username":"~acentau","name":"Dom Rith","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 04:04:59.501300 {"type":"message","timestamp":1520741099.5013,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null},"content":"Gargron: #indieweb-dev on freenode would be the best spot, lots of people there who can help in many timezones","modes":[]}
2018-03-11 06:25:21.073900 {"type":"join","timestamp":1520749521.0739,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"xmpp-social","nickname":"xmpp-social","username":"~xmpp-social","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 08:45:41.271500 {"type":"join","timestamp":1520757941.2715,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"bengo","nickname":"bengo","username":"~bengo","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 09:20:58.116100 {"type":"join","timestamp":1520760058.1161,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"bengo","nickname":"bengo","username":"~bengo","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 12:45:08.038400 {"type":"join","timestamp":1520772308.0384,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"saranix","nickname":"saranix","username":"~mxladyboy","name":"*Unknown*","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 13:39:59.177200 {"type":"join","timestamp":1520775599.1772,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"JanKusanagi","nickname":"JanKusanagi","username":"~jank","name":"JanKusanagi","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 15:04:09.260000 {"type":"join","timestamp":1520780649.26,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jankusanagi_","nickname":"jankusanagi_","username":"~jank","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-11 15:46:42.408400 {"type":"join","timestamp":1520783202.4084,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"JanKusanagi","nickname":"JanKusanagi","username":"~jank","name":"JanKusanagi","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
