2019-07-16 00:29:45.943300 {"type":"message","timestamp":1563236985.9433,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dansup","nickname":"dansup","username":"~dansup","name":"Dan Sup","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"cjslep[m]: the tls cert on your blog is expired","modes":[]}
2019-07-16 04:25:10.321300 {"type":"join","timestamp":1563251110.3213,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 06:04:51.138600 {"type":"join","timestamp":1563257091.1386,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0Aigh9ie","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 06:08:08.982000 {"type":"leave","timestamp":1563257288.982,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 06:08:46.866200 {"type":"join","timestamp":1563257326.8662,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 06:25:08.231000 {"type":"join","timestamp":1563258308.231,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"xmpp-social","nickname":"xmpp-social","username":"~xmpp-social","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 06:31:36.903100 {"type":"message","timestamp":1563258696.9031,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"cjslep[m]","nickname":"cjslep[m]","username":"~cjslepfene","name":"@cjslep:feneas.org","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"dansup Thanks for the reminder, I'll have to get on that tonight.","modes":[]}
2019-07-16 06:32:49.064100 {"type":"message","timestamp":1563258769.0641,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"cjslep[m]","nickname":"cjslep[m]","username":"~cjslepfene","name":"@cjslep:feneas.org","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"Clipsey can you resend I think I got the wrong button on my German language client. It used words I'm unfamiliar with and I hit the wrong thing","modes":[]}
2019-07-16 12:35:17.073600 {"type":"join","timestamp":1563280517.0736,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"ilmu","nickname":"ilmu","username":"~ilmu","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 14:05:27.498900 {"type":"leave","timestamp":1563285927.4989,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2019-07-16 14:05:30.518400 {"type":"join","timestamp":1563285930.5184,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
