2020-04-25 03:27:42.631600 {"type":"message","timestamp":1587785262.6315763,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"nightpool[m]","nickname":"nightpool[m]","username":"~nightpoolc","name":"@nightpool:cybre.space","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"can you send an example? I'm having a hard time picturing what you're talking about jaywink","modes":[]}
2020-04-25 04:34:23.494800 {"type":"message","timestamp":1587789263.494809,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dansup","nickname":"dansup","username":"~dansup","name":"Dan Sup","photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"Pixelfed is now 2 years old! https:\/\/pixelfed.writeas.com\/pixelfed-v0-10-9","modes":[]}
2020-04-25 08:02:00.274600 {"type":"join","timestamp":1587801720.2745695,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi","nickname":"jussi","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 08:55:35.776700 {"type":"join","timestamp":1587804935.7767453,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"emilis","nickname":"emilis","username":"~emilis","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 09:29:56.476600 {"type":"join","timestamp":1587806996.4765804,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi","nickname":"jussi","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 09:33:00.267200 {"type":"join","timestamp":1587807180.2672243,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi","nickname":"jussi","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 09:42:32.914800 {"type":"join","timestamp":1587807752.914783,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi","nickname":"jussi","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 09:50:16.120200 {"type":"join","timestamp":1587808216.1202197,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi_","nickname":"jussi_","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 10:21:03.100700 {"type":"join","timestamp":1587810063.100737,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi","nickname":"jussi","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 10:21:58.302100 {"type":"join","timestamp":1587810118.302135,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jussi__","nickname":"jussi__","username":"~jussi","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 11:08:51.068800 {"type":"join","timestamp":1587812931.0687637,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"pukkamustard","nickname":"pukkamustard","username":"~pukkamusta","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 11:35:08.862500 {"type":"join","timestamp":1587814508.8625145,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"emacsen","nickname":"emacsen","username":"~serge","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":null,"modes":[]}
2020-04-25 11:35:15.249900 {"type":"message","timestamp":1587814515.2499468,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"emacsen","nickname":"emacsen","username":"~serge","name":null,"photo":null,"url":null,"tz":null,"host":"public.cloak"},"content":"Hi. Is there a meeting today?","modes":[]}
