2021-03-25 01:36:21.427000 {"type":"join","timestamp":1616636181.4270437,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Loqi_","nickname":"Loqi_","username":"~Loqi","name":"cinch","photo":null,"url":null,"tz":null,"host":"4a714a7c.public.cloak"},"content":null,"modes":[]}
2021-03-25 02:12:55.240800 {"type":"join","timestamp":1616638375.240809,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dmitriz","nickname":"dmitriz","username":"~dmitriz","name":"Dmitri Zagidulin","photo":null,"url":null,"tz":null,"host":"7927d3f6.publics.cloak"},"content":null,"modes":[]}
2021-03-25 06:40:18.220300 {"type":"join","timestamp":1616654418.2202654,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"4a714a7c.public.cloak"},"content":null,"modes":[]}
2021-03-25 07:22:19.439500 {"type":"join","timestamp":1616656939.4395018,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"xmpp-social","nickname":"xmpp-social","username":"~xmpp-social","name":"xmpp-social","photo":null,"url":null,"tz":null,"host":"4a714a7c.public.cloak"},"content":null,"modes":[]}
2021-03-25 09:06:13.769000 {"type":"join","timestamp":1616663173.76897,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
2021-03-25 13:25:45.259500 {"type":"join","timestamp":1616678745.2595127,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dmitriz","nickname":"dmitriz","username":"~dmitriz","name":"Dmitri Zagidulin","photo":null,"url":null,"tz":null,"host":"7927d3f6.publics.cloak"},"content":null,"modes":[]}
2021-03-25 15:53:43.885100 {"type":"join","timestamp":1616687623.8851202,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dmitriz","nickname":"dmitriz","username":"~dmitriz","name":"Dmitri Zagidulin","photo":null,"url":null,"tz":null,"host":"7927d3f6.publics.cloak"},"content":null,"modes":[]}
2021-03-25 17:09:37.510400 {"type":"join","timestamp":1616692177.5103734,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
2021-03-25 17:16:06.670600 {"type":"join","timestamp":1616692566.670611,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
2021-03-25 18:05:29.477800 {"type":"join","timestamp":1616695529.477837,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
2021-03-25 19:20:53.450400 {"type":"join","timestamp":1616700053.4504008,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"xmpp-social","nickname":"xmpp-social","username":"~xmpp-social","name":"xmpp-social","photo":null,"url":null,"tz":null,"host":"4a714a7c.public.cloak"},"content":null,"modes":[]}
2021-03-25 20:13:34.254900 {"type":"join","timestamp":1616703214.2548854,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
2021-03-25 20:35:04.144800 {"type":"message","timestamp":1616704504.1448336,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@dentaku] \u21a9\ufe0f Or implement https:\/\/www.w3.org\/TR\/activitypub\/ (https:\/\/twitter.com\/_\/status\/1375184117084659713)","modes":[]}
2021-03-25 22:56:23.551900 {"type":"join","timestamp":1616712983.551893,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":"Tim Berners-Lee","photo":null,"url":null,"tz":null,"host":"899c7108.team.cloak"},"content":null,"modes":[]}
