2022-10-25 10:00:09.441400 {"type":"join","timestamp":1666692009.4414456,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 10:11:12.624500 {"type":"join","timestamp":1666692672.6245356,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"treora","nickname":"treora","username":"~blub","name":"Gerben","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 14:50:51.772700 {"type":"join","timestamp":1666709451.7726824,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"treora","nickname":"treora","username":"~blub","name":"Gerben","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 16:23:40.660000 {"type":"join","timestamp":1666715020.6600208,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"dmitriz","nickname":"dmitriz","username":"~dmitriz","name":null,"photo":null,"url":null,"tz":null,"host":"71dc0f22.publics.cloak"},"content":null,"modes":[]}
2022-10-25 18:06:11.114700 {"type":"join","timestamp":1666721171.1146882,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"ma1uta","nickname":"ma1uta","username":"~ma1uta","name":"ma1uta","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 22:09:20.159900 {"type":"message","timestamp":1666735760.159925,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"almighty_god","nickname":"almighty_god","username":"~almightygo","name":"@almighty_god:matrix.org","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":"The modern marvels of science.. great signs and wonders to deceive many.. smart phones.. aircraft.. medical miracles.. and mass media spells to package these great signs and wonders as a seller to get you to trust the science when it says the bible is wrong.. but let us examine these great miracles of science and how they come about, vs the scientific claims against the bible's validity:","modes":[]}
2022-10-25 22:09:20.271800 {"type":"message","timestamp":1666735760.271778,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"almighty_god","nickname":"almighty_god","username":"~almightygo","name":"@almighty_god:matrix.org","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":"all of those things are trash that sucks ass full of bugs that don't work right cause the science is wrong.. until it's put in to a form that people can put in practice and see whatis wrong with it.. and fix it.. thus medicine kills many to learn stuff cause man is wrong until trial and errror.. medical science theory is trash that we start with and practice with until we learn more and then it starts having value.. so all their scientific","modes":[]}
2022-10-25 22:09:20.274200 {"type":"message","timestamp":1666735760.2741923,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"almighty_god","nickname":"almighty_god","username":"~almightygo","name":"@almighty_god:matrix.org","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":"opinions of stuff that can't be product tested by millions to give feedback and correct all it's wrongs.. it's trash that is wrong and still needs correcting.. DO NOT TRUST THE FALSE PROPHET OF SCIENCE.. FOR IT'S STUPID AS FUCK AND NEEDS MILLIONS OF USERS TO CORRECT IT OR IT'S TRASH.. AND THEY DON'T HAVE THAT CORRECTION ON THEIR CLAIMS AGAINST THE BIBLE.. SO THOSE CLAIMS ARE TRASH !","modes":[]}
2022-10-25 23:06:08.081700 {"type":"join","timestamp":1666739168.081693,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Loqi_","nickname":"Loqi_","username":"~Loqi","name":"cinch","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 23:10:10.085900 {"type":"join","timestamp":1666739410.0858965,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Loqi_","nickname":"Loqi_","username":"~Loqi","name":"cinch","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
2022-10-25 23:14:11.949300 {"type":"join","timestamp":1666739651.9492972,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Loqi_","nickname":"Loqi_","username":"~Loqi","name":"cinch","photo":null,"url":null,"tz":null,"host":"11c9e7f5.public.cloak"},"content":null,"modes":[]}
