2022-12-27 03:07:19.275800 {"type":"join","timestamp":1672110439.2758439,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"jvsg","nickname":"jvsg","username":"~jvsgmatrix","name":null,"photo":null,"url":null,"tz":null,"host":"536ebf46.public.cloak"},"content":null,"modes":[]}
2022-12-27 06:49:12.309800 {"type":"join","timestamp":1672123752.3098154,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"bigbluehat","nickname":"bigbluehat","username":"~sid632","name":"Benjamin Young","photo":null,"url":null,"tz":null,"host":"536ebf46.public.cloak"},"content":null,"modes":[]}
2022-12-27 07:07:28.319000 {"type":"join","timestamp":1672124848.3190022,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"Ariadne","nickname":"Ariadne","username":"~sid506515","name":"Ariadne Conill","photo":null,"url":null,"tz":null,"host":"536ebf46.public.cloak"},"content":null,"modes":[]}
2022-12-27 09:13:52.050400 {"type":"join","timestamp":1672132432.0504305,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 09:37:45.572500 {"type":"join","timestamp":1672133865.5725408,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 09:57:38.864900 {"type":"join","timestamp":1672135058.8649082,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 09:59:32.598700 {"type":"join","timestamp":1672135172.598748,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 10:00:16.938800 {"type":"join","timestamp":1672135216.9388344,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 11:03:28.332200 {"type":"join","timestamp":1672139008.3322313,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 14:02:05.737700 {"type":"join","timestamp":1672149725.737663,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
2022-12-27 14:17:44.911300 {"type":"join","timestamp":1672150664.9112968,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"f449d638.publics.cloak"},"content":null,"modes":[]}
