2023-02-19 03:11:30.118300 {"type":"join","timestamp":1676776290.1183019,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"raucao","nickname":"raucao","username":"~raucao","name":"Sebastian Kippe","photo":null,"url":null,"tz":null,"host":"a11e3e9c.public.cloak"},"content":null,"modes":[]}
2023-02-19 04:37:38.619000 {"type":"join","timestamp":1676781458.618992,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 04:58:05.250700 {"type":"leave","timestamp":1676782685.2507489,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"a11e3e9c.public.cloak"},"content":null,"modes":[]}
2023-02-19 04:58:07.073200 {"type":"join","timestamp":1676782687.0731955,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"vitalyster","nickname":"vitalyster","username":"~vitalyster","name":"vitalyster","photo":null,"url":null,"tz":null,"host":"a11e3e9c.public.cloak"},"content":null,"modes":[]}
2023-02-19 08:15:15.625400 {"type":"join","timestamp":1676794515.6253536,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 08:36:22.866400 {"type":"join","timestamp":1676795782.8663714,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 10:11:37.625900 {"type":"join","timestamp":1676801497.625924,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 10:51:54.260700 {"type":"join","timestamp":1676803914.260728,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":null,"photo":null,"url":null,"tz":null,"host":"142614f9.team.cloak"},"content":null,"modes":[]}
2023-02-19 11:30:50.534200 {"type":"join","timestamp":1676806250.5342429,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 12:15:57.741500 {"type":"join","timestamp":1676808957.7414567,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 13:36:04.837100 {"type":"join","timestamp":1676813764.8371222,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 13:54:11.602400 {"type":"join","timestamp":1676814851.6024287,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"mro","nickname":"mro","username":"~mro","name":"mro","photo":null,"url":null,"tz":null,"host":"c8725cf7.publics.cloak"},"content":null,"modes":[]}
2023-02-19 14:31:42.291100 {"type":"join","timestamp":1676817102.2911348,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":null,"photo":null,"url":null,"tz":null,"host":"142614f9.team.cloak"},"content":null,"modes":[]}
2023-02-19 16:55:35.465100 {"type":"join","timestamp":1676825735.4651163,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl_","nickname":"timbl_","username":"timbl","name":null,"photo":null,"url":null,"tz":null,"host":"142614f9.team.cloak"},"content":null,"modes":[]}
2023-02-19 17:27:51.008600 {"type":"join","timestamp":1676827671.0085878,"network":"irc","server":"w3c","channel":{"uid":"#social","name":"#social"},"author":{"uid":"timbl","nickname":"timbl","username":"timbl","name":null,"photo":null,"url":null,"tz":null,"host":"142614f9.team.cloak"},"content":null,"modes":[]}
